START	END
2FM04	2FX14
2FM04	2FX12
2FM04	2FX16
2FM04	2FX14
2FM04	2FX10
2FM04	2FX08
2FX01	2FM03
2FX03	2FM03
2FX05	2FM03
2FX06	4FX07
2FX07	2FM03
2FX08	2FM04
2FX09	2FX18
2FX09	4FX17
2FX09	4FX18
2FX09	2FX17
2FX09	2FM03
2FX10	2FM04
2FX11	2FM03
2FX12	2FM04
2FX13	2FM03
2FX14	2FM04
2FX14	2FX18
2FX14	2FX17
2FX14	4FX17
2FX14	4FX18
2FX14	2FM04
2FX15	2FX17
2FX15	2FX18
2FX15	4FX17
2FX15	4FX18
2FX15	2FM03
2FX16	2FM04
2FX17	2FC02
2FX17	2FC03
2FX17	2FC01
2FX17	2FC01
2FX17	2FC04
2FX17	2FC04
2FX17	2FX15
2FX17	4FX15
2FX17	2FX14
2FX17	4FX13
2FX17	4FX09
2FX17	2FX09
2FX18	2FC02
2FX18	2FC03
2FX18	2FC01
2FX18	2FC01
2FX18	2FC04
2FX18	2FC04
2FX18	4FX15
2FX18	2FX15
2FX18	4FX13
2FX18	2FX14
2FX18	4FX09
2FX18	2FX09
3FB03	3FE09
3FC01	3FE09
3FC01	3FF09
3FC05	3FF09
3FC05	3FE09
3FC08	3FE09
3FC08	3FF09
3FD03	3FF09
3FD03	3FE09
3FD06	3FF09
3FE09	3FD03
3FE09	3FI06
3FE09	3FC08
3FE09	3FI03
3FE09	3FC05
3FE09	3FC01
3FE09	3FH08
3FE09	3FH05
3FE09	3FB03
3FE09	3FH01
3FE09	3FG06
3FE09	3FG03
3FF09	3FD06
3FF09	3FD03
3FF09	3FC08
3FF09	3FI06
3FF09	3FC05
3FF09	3FI03
3FF09	3FH08
3FF09	3FC01
3FF09	3FG03
3FG03	3FE09
3FG03	3FF09
3FG06	3FE09
3FH01	3FE09
3FH05	3FE09
3FH08	3FF09
3FH08	3FE09
3FI03	3FF09
3FI03	3FE09
3FI06	3FE09
3FI06	3FF09
4FF11	4FX18
4FF11	4FX18
4FF11	4FX17
4FF11	4FX17
4FF12	4FX17
4FF12	4FX18
4FF13	4FX17
4FF13	4FX18
4FF14	4FX18
4FF14	4FX18
4FF14	4FX17
4FF14	4FX17
4FM02	7FD10
4FM02	7FD10
4FM03	4FX08
4FM03	4FX07
4FM03	4FX06
4FM03	4FX05
4FM03	4FX04
4FM03	4FX03
4FM03	4FX02
4FM03	4FX01
4FM04	4FX16
4FM04	4FX15
4FM04	4FX14
4FM04	4FX13
4FM04	4FX12
4FM04	4FX11
4FM04	4FX10
4FM04	4FX09
4FX01	4FM03
4FX02	4FM03
4FX03	4FM03
4FX04	4FM03
4FX05	4FM03
4FX06	4FM03
4FX07	2FX06
4FX07	4FM03
4FX08	4FM03
4FX09	2FX18
4FX09	2FX17
4FX09	4FX17
4FX09	4FX18
4FX09	4FM04
4FX10	4FM04
4FX11	4FM04
4FX12	4FM04
4FX13	2FX18
4FX13	2FX17
4FX13	4FX17
4FX13	4FX18
4FX13	4FM04
4FX14	4FM04
4FX15	2FX17
4FX15	2FX18
4FX15	4FX18
4FX15	4FX17
4FX15	4FM04
4FX16	4FM04
4FX17	4FF12
4FX17	4FF13
4FX17	4FF14
4FX17	4FF14
4FX17	4FF11
4FX17	4FF11
4FX17	4FX15
4FX17	2FX15
4FX17	2FX14
4FX17	4FX13
4FX17	2FX09
4FX17	4FX09
4FX18	4FF12
4FX18	4FF13
4FX18	4FF14
4FX18	4FF14
4FX18	4FF11
4FX18	4FF11
4FX18	2FX15
4FX18	4FX15
4FX18	4FX13
4FX18	2FX14
4FX18	4FX09
4FX18	2FX09
5FA1	5FX02
5FA1	5FX01
5FA2	5FX01
5FA2	5FX02
5FA2	5FX02
5FA2	5FX01
5FA2	5FX01
5FA3	5FX01
5FA3	5FX02
5FA3	5FX01
5FA4	5FX01
5FA4	5FX01
5FA4	5FX02
5FA5	5FX02
5FA5	5FX02
5FA5	5FX01
5FA5	5FX01
5FA5	5FX01
5FA6	5FX02
5FA6	5FX01
5FA7	5FB7
5FA7	5FB7
5FA7	5FX02
5FB7	5FD7
5FB7	5FD7
5FB7	5FC7
5FB7	5FC7
5FB7	5FA7
5FB7	5FA7
5FC1	5FX07
5FC2	5FX07
5FC2	5FX07
5FC2	5FX07
5FC2	5FD14
5FC2	5FD15
5FC3	5FX07
5FC3	5FX07
5FC4	5FX07
5FC4	5FX07
5FC5	5FX07
5FC5	5FX07
5FC5	5FX07
5FC6	5FX07
5FC7	5FB7
5FC7	5FB7
5FD14	5FX08
5FD14	5FC2
5FD15	5FC2
5FD15	5FX08
5FD7	5FB7
5FD7	5FB7
5FE7	5FG7
5FE7	5FG7
5FF7	5FG7
5FF7	5FG7
5FG7	5FH7
5FG7	5FH7
5FG7	5FF7
5FG7	5FF7
5FG7	5FE7
5FG7	5FE7
5FH03	5FX22
5FH03	5FX22
5FH04	5FX22
5FH7	5FX24
5FH7	5FX24
5FH7	5FG7
5FH7	5FG7
5FM02	5FX24
5FM02	5FX21
5FM02	5FX18
5FM02	5FX15
5FM02	5FX12
5FM02	5FX09
5FM02	5FX06
5FM02	5FX03
5FM02	7FD10
5FM02	7FD10
5FM03	5FX11
5FM03	5FX10
5FM03	5FX08
5FM03	5FX07
5FM03	5FX05
5FM03	5FX04
5FM03	5FX02
5FM03	5FX01
5FM04	5FX23
5FM04	5FX22
5FM04	5FX20
5FM04	5FX19
5FM04	5FX17
5FM04	5FX16
5FM04	5FX14
5FM04	5FX13
5FX01	5FA5
5FX01	5FA5
5FX01	5FA6
5FX01	5FA5
5FX01	5FA4
5FX01	5FA3
5FX01	5FA4
5FX01	5FA2
5FX01	5FA3
5FX01	5FA2
5FX01	5FA2
5FX01	5FA1
5FX01	5FM03
5FX02	5FA7
5FX02	5FA5
5FX02	5FA6
5FX02	5FA2
5FX02	5FA3
5FX02	5FA4
5FX02	5FA5
5FX02	5FA2
5FX02	5FA1
5FX02	5FM03
5FX03	5FM02
5FX04	5FM03
5FX05	5FM03
5FX06	5FM02
5FX07	5FC5
5FX07	5FC6
5FX07	5FC5
5FX07	5FC5
5FX07	5FC4
5FX07	5FC3
5FX07	5FC4
5FX07	5FC2
5FX07	5FC2
5FX07	5FC3
5FX07	5FC2
5FX07	5FC1
5FX07	5FM03
5FX08	5FD14
5FX08	5FD15
5FX08	5FM03
5FX09	5FM02
5FX10	5FM03
5FX11	5FM03
5FX12	5FM02
5FX13	5FM04
5FX14	5FM04
5FX15	5FM02
5FX16	5FM04
5FX17	5FM04
5FX18	5FM02
5FX19	5FM04
5FX20	5FM04
5FX21	5FM02
5FX22	5FH03
5FX22	5FH04
5FX22	5FH03
5FX22	5FM04
5FX23	5FM04
5FX24	5FM02
5FX24	5FH7
5FX24	5FH7
6FA04	6FE02
6FA04	6FF02
6FB02	6FF02
6FB02	6FE02
6FB07	6FE02
6FB07	6FF02
6FB11	6FF02
6FB11	6FE02
6FC02	6FF02
6FC02	6FE02
6FC05	6FE02
6FC05	6FF02
6FC08	6FE02
6FC08	6FF02
