POSITION	LABEL	NAME
1FX12	FC901284	D-1FX12-U38
1FX13	FC901460	D-1FX13-U30
1FX13	FC901461	D-1FX13-U32
1FX13	FC901462	D-1FX13-U33
1FX13	FC901463	D-1FX13-U35
1FX13	FC901464	D-1FX13-U36
1FX13	FC901465	D-1FX13-U38
1FX13	FC901466	D-1FX13-U39
1FX13	FC901467	D-1FX13-U41
1FX15	FC901437	D-1FX15-U38
1FX16	FC901422	D-1FX16-U23
1FX16	FC901423	D-1FX16-U25
1FX16	FC901424	D-1FX16-U27
1FX16	FC901429	D-1FX16-U38
1FX19	FC901507	D-1FX19-U38
1FX20	FC901498	D-1FX20-U38
1FX21	FC901483	D-1FX21-U17
1FX21	FC901484	D-1FX21-U19
1FX21	FC901485	D-1FX21-U21
1FX23	FC901760	D-1FX23-U27
1FX23	FC901761	D-1FX23-U29
1FX23	FC900220	D-1FX23-U38
1FX24	FC900210	D-1FX24-U36
1FX24	FC900211	D-1FX24-U38
1FX25	FC900182	D-1FX25-U36
1FX25	FC900183	D-1FX25-U38
1FX26	FC901647	D-1FX26-U30
1FX26	FC901650	D-1FX26-U33
1FX26	FC901652	D-1FX26-U35
1FX26	FC901653	D-1FX26-U36
1FX26	FC901655	D-1FX26-U38
1FX26	FC901656	D-1FX26-U39
1FX26	FC901658	D-1FX26-U41
1FX27	FC901609	D-1FX27-U29
1FX27	FC901610	D-1FX27-U30
1FX27	FC901611	D-1FX27-U32
1FX27	FC901612	D-1FX27-U33
1FX27	FC901613	D-1FX27-U35
1FX27	FC901614	D-1FX27-U36
1FX27	FC901615	D-1FX27-U38
1FX27	FC901616	D-1FX27-U39
1FX27	FC901617	D-1FX27-U41
1FX28	FC901675	D-1FX28-U26
1FX28	FC901676	D-1FX28-U27
1FX28	FC901677	D-1FX28-U29
1FX28	FC901678	D-1FX28-U30
1FX28	FC901679	D-1FX28-U32
1FX28	FC901680	D-1FX28-U33
1FX28	FC901581	D-1FX28-U35
1FX28	FC901582	D-1FX28-U36
1FX28	FC901583	D-1FX28-U38
1FX28	FC901584	D-1FX28-U39
1FX28	FC901585	D-1FX28-U41
1FX29	FC901561	D-1FX29-U32
1FX29	FC901562	D-1FX29-U33
1FX29	FC901563	D-1FX29-U35
1FX29	FC901564	D-1FX29-U36
1FX29	FC901565	D-1FX29-U38
1FX29	FC901601	D-1FX29-U39
1FX33	FC900226	D-1FX33-U35
1FX33	FC900238	D-1FX33-U38
1FX33	FC900239	D-1FX33-U39
1FX33	FC900240	D-1FX33-U41
1FX34	FC900243	D-1FX34-U33
1FX34	FC900245	D-1FX34-U36
1FX34	FC900246	D-1FX34-U38
1FX34	FC900247	D-1FX34-U39
1FX35	FC901661	D-1FX35-U40
1FX35	FC901662	D-1FX35-U42
1FX36	FC901588	D-1FX36-U30
1FX36	FC901591	D-1FX36-U34
1FX36	FC901592	D-1FX36-U36
1FX36	FC901593	D-1FX36-U37
1FX36	FC901594	D-1FX36-U39
1FX37	FC901624	D-1FX37-U31
1FX37	FC901625	D-1FX37-U33
1FX37	FC901626	D-1FX37-U34
1FX37	FC901627	D-1FX37-U36
1FX37	FC901628	D-1FX37-U37
1FX38	FC901516	D-1FX38-U37
1FX38	FC901517	D-1FX38-U39
1FX38	FC901518	D-1FX38-U40
1FX39	FC901524	D-1FX39-U30
1FX39	FC901525	D-1FX39-U31
1FX39	FC901526	D-1FX39-U33
1FX39	FC901527	D-1FX39-U34
1FX39	FC901529	D-1FX39-U37
1FX39	FC901530	D-1FX39-U39
1FX39	FC901632	D-1FX39-U42
1FX40	FC901664	D-1FX40-U31
1FX40	FC901665	D-1FX40-U33
1FX40	FC901666	D-1FX40-U34
1FX40	FC901667	D-1FX40-U36
1FX40	FC901668	D-1FX40-U37
1FX40	FC901671	D-1FX40-U42
1FX41	FC901550	D-1FX41-U33
1FX41	FC901551	D-1FX41-U34
1FX41	FC901552	D-1FX41-U36
1FX41	FC901553	D-1FX41-U37
1FX41	FC901554	D-1FX41-U39
1FX41	FC901555	D-1FX41-U40
1FX41	FC901556	D-1FX41-U42
1FX42	FC901535	D-1FX42-U27
1FX42	FC901536	D-1FX42-U29
1FX42	FC901537	D-1FX42-U30
1FX42	FC901538	D-1FX42-U32
1FX42	FC901539	D-1FX42-U33
1FX42	FC901540	D-1FX42-U35
1FX42	FC901541	D-1FX42-U36
1FX42	FC901542	D-1FX42-U38
1FX42	FC901543	D-1FX42-U39
1FX42	FC901544	D-1FX42-U41
1FX43	FC901398	D-1FX43-U38
1FX43	FC901399	D-1FX43-U39
1FX43	FC901401	D-1FX43-U41
2FA05	FC905255	D-2FA05-T1
2FB16	FC905243	D-2FB16-T1
2FC01	FC903630	D-2FC01-B1
2FC01	FC903631	D-2FC01-B2
2FC01	FC903632	D-2FC01-B3
2FC01	FC903633	D-2FC01-B4
2FC02	FC903629	D-2FC02-B2
2FC03	FC903606	D-2FC03-B1
2FC04	FC903602	D-2FC04-B1
2FC04	FC903603	D-2FC04-B2
2FC04	FC903604	D-2FC04-B3
2FC04	FC903605	D-2FC04-B4
2FC05	FC905054	D-2FC05-T1
2FC07	FC904918	D-2FC07-U28
2FC07	FC904834	D-2FC07-U30
2FC07	FC904835	D-2FC07-U32
2FC07	FC904836	D-2FC07-U34
2FC07	FC904837	D-2FC07-U36
2FC07	FC904838	D-2FC07-U38
2FC07	FC904839	D-2FC07-U40
2FC07	FC904840	D-2FC07-U42
2FC10	FC905075	D-2FC10-T1
2FD05	FC905082	D-2FD05-T1
2FD16	FC905094	D-2FD16-T1
